Section	Title
46/sxx14	A CONTRIBUTION TO THE LIFE HISTORY OF THE ALLEGHENY CAVE RAT, NEOTOMA MAGISTER Baird.
49/sxx14	A CONTRIBUTION TO THE MAMMALOGY OF CENTRAL PENNSYLVANIA.
49/sxx02	A CONTRIBUTION TO THE MAMMALOGY OF NORTHERN NEW JERSEY.
27/sxx11	A CRITICAL REVIEW OF THE NORTH AMERICAN SACCOMYID.E.
36/sxx04	A EEVIEW OF THE AMERICAN SPECIES OF THE GENUS TRACHYNOTUS.
73/sxx11	A FOSSIL OWL FROM THE BRIDGER EOCENE.
67/sxx05	A FURTHER CONTRIBUTION TO THE KNOWLEDGE OF THE ORTHOPTERA OF ARGENTINA.
55/sxx06	A LIST OF ARACHNIDA FROM HAYTI, WITH DESCRIPTIONS OF NEW SPECIES.
51/sxx07	A LIST OF FISHES COLLECTED AT PORT ANTONIO, JAMAICA.
51/sxx29	A NEW AMERICAN SPECIES OF ZONITOIDES.
63/sxx04	A NEW CALIFORNIAN CHITON.
70/sxx12	A NEW CHARACIN FROM PARAGUAY, BY HENRY W. FOWLER.
50/sxx23	A NEW CHIPMUNK FROM NORTHEASTERN CHINA.
52/sxx12	A NEW CRAYFISH FROM NEW MEXICO.
45/sxx03	A NEW EXTINCT SPECIES OF CYPRINIDiE.
62/sxx04	A NEW FISH OF THE GENUS PARALEPIS FROM NEW JERSEY.
40/sxx10	A NEW FOSSIL SPIDER.
50/sxx15	A NEW GRASSHOPPER MOUSE FROM NEW MEXICO.
50/sxx25	A NEW LAND SHELL FROM CLARION ISLAND.
53/sxx30	A NEW SPECIES OF CLAVILITHES FROM THE EOCENE OF TEXAS.
51/sxx18	A NEW SPECIES OF COCCYZUS FROM ST. ANDREWS.
53/sxx19	A NEW SPECIES OF COLUBER FROM WESTERN TEXAS.
46/sxx16	A NEW SUBFAMILY OF MURINE RODENTS— THE NEOTOMINiE— WITH DESCRIPTION OF A NEW GENUS AND SPECIES AND A SYNOPSIS OF THE KNOWN FORMS.
59/sxx01	A NEW TURBELLARIAN FROM HAWAII.
52/sxx23	A NEW WEASEL FROM WESTERN PENNSYLVANIA.
63/sxx02	A NOTE ON THE GENUS LOLLIGUNCULA.
62/sxx05	A NOTE REGARDING THE CHINESE ALLIGATOR.
71/sxx09	A PECULIAR VENEZUELAN LAND SNAIL.
39/sxx04	A PRODROME OF A MEMOIR ON ANIMAL LOCOMOTION.
46/sxx20	A PROPOSED CLASSIFICATION OF THE FOSSORIAL HYMENOPTERA OF NORTH AMERICA.
53/sxx26	A QUICK METHOD OF TESTING FOR GOLD.
48/sxx08	A REMARKABLE CENTRAL AMERICAN MELANIAN.
37/sxx03	A REVIEW OF THE AMERICAN GENERA AND SPECIES OF BATRACHID.E.
41/sxx14	A REVIEW OF THE AMERICAN SPECIES OF PRIACANTHID.E.
41/sxx20	A REVIEW OF THE AMERICAN SPECIES OF STURGEONS (ACIPENSERIDAE.)
37/sxx08	A REVIEW OF THE AMERICAN SPECIES OF THE GENUS SCORPJENA.
36/sxx02	A REVIEW OF THE AMERICAN SPECIES OF THE GENUS SPHYR^NA.
43/sxx05	A REVIEW OF THE CRETACEOUS MAMMALIA.i BY HENRY FAIRFIELD OSBORN.
41/sxx21	A REVIEW OF THE EUROPEAN AND AMERICAN URANOSCOPIDJE OR STAR-GAZERS.
53/sxx02	A REVIEW OF THE GENERA AND SPECIES OF AMERICAN SNAKES, NORTH OF MEXICO.
37/sxx05	A REVIEW OF THE GENUS PHRYNOSOMA.
46/sxx10	A REVIEW OF THE OLD WORLD RALLIN^.
37/sxx06	A REVIEW OF THE SPECIES OF THE GENUS ESOX.
37/sxx04	A REVIEW OF THE SPECIES OF THE GENUS PIMEPHALES.
37/sxx02	A REVIEW OF THE SPECIES OF THE GENUS SEM0TILTJ8.
33/sxx04	A REVISION OF THE CIS-MISSISSIPPI TERTIARY PECTENS OF THE UNITED STATES.
64/sxx06	A REVISION OF THE GENERA AND SPECIES OF THE GROUP MOGOPLISTII
33/sxx07	A REVISION OF THE TERTIARY SPECIES OF ARCA OF THE EASTERN AND SOUTHERN UNITED STATES.
49/sxx19	A REVISION OF THE WEST AMERICAN FLYING SQUIRRELS.
69/sxx06	A SECOND COLLECTION OF FISHES FROM THE PANAMA CANAL ZONE.
50/sxx11	A SMALL COLLECTION OF MAMMALS FROM NORTHEASTERN CHINA.
51/sxx11	A SMALL COLLECTION OF REPTILES AND BATRACHIANS FROM EASTERN MONGOLIA.
53/sxx10	A STUDY OF THE GENUS CENTURIO.
71/sxx04	A STUDY OF THE ORTHOPTEROUS GENUS MERMIRIA STAL BY JAMES A. G. REHN For a number of years we have found that any attempt to make determinations in this genus from the basis of the last revisionary treatise published upon, it, that by Scudder in 1899, led us into difficulties, some clearly evident, others more subtle and then not possible of correction.
46/sxx22	A STUDY OF THE SYSTEMATIC AND GEOGEAPHICAL DISTRIBUTION OF THE DECAPOD FAMILY ATYID^ Kingsley.
47/sxx07	A STUDY OF THE SYSTEMATIC AND GEOGRAPHIC DISTRIBUTION OF THE DECAPOD FAMILY CRANGONIDJE BATE.
51/sxx02	A STUDY OF THE TYPE SPECIMENS OF BIRDS IN THE COLLECTION OF WITH A BRIEF HISTORY OF THE COLLECTION.
21/sxx00	ACADEMY OF NATUEAL SCIENCES 1869.
54/sxx00	Academy of Natural Sciences Volume liv 1902 philadelphia: The Academy of Natural Sciences LOGAN SQUARE 1902-1903 The Academy df Xatukal Sciences of rHiiAPF.i.PHiA, March 13, 1903.
58/sxx00	Academy of Natural Sciences VOLUME LVIII 1906 philadelphia : The Academy of Natural Sciences LOGAN SQUARE 1906-1907 ,A The Academy of Natural Sciences of Philadelphia, February 23, 1907.
60/sxx00	Academy of Natural Sciences VOLUME LX 1908 philadelphia : The Academy of Natural Sciences LOGAN SQUARE 1908-1 909 The Academy of Natural Sciences of Philadelphia, Mar( H 3, 1909.
58/sxx03	ADDITIONAL NEW SPECIES OF POLYCH^TA FROM THE NORTH PACIFIC.
72/sxx14	ADDITIONAL NOTES ON THE DEAL METEORITE.
51/sxx27	ADDITIONAL OBSERVATIONS ON GLACIERS IN BRITISH COLXTMBIA.
40/sxx14	ADDITIONAL OBSERVATIONS UPON THE STRUCTURE AND CLASSIFICATION OF THE MESOZOIC MAMMALIA.
26/sxx22	ADDITIONS TO LIBRARY.
26/sxx23	ADDITIONS TO LIBRARY.
26/sxx24	ADDITIONS TO LIBRARY.
26/sxx25	ADDITIONS TO LIBRARY.
26/sxx26	ADDITIONS TO LIBRARY.
26/sxx27	ADDITIONS TO LIBRARY.
26/sxx28	ADDITIONS TO LIBRARY.
26/sxx29	ADDITIONS TO LIBRARY.
26/sxx30	ADDITIONS TO LIBRARY.
26/sxx31	ADDITIONS TO LIBRARY.
26/sxx32	ADDITIONS TO LIBRARY.
26/sxx33	ADDITIONS TO LIBRARY.
26/sxx34	ADDITIONS TO LIBRARY.
26/sxx35	ADDITIONS TO LIBRARY.
26/sxx37	ADDITIONS TO LIBRARY.
26/sxx38	ADDITIONS TO LIBRARY.
26/sxx39	ADDITIONS TO LIBRARY.
26/sxx40	ADDITIONS TO LIBRARY.
27/sxx34	ADDITIONS TO LIBRARY.
27/sxx35	ADDITIONS TO LIBRARY.
27/sxx36	ADDITIONS TO LIBRARY.
27/sxx37	ADDITIONS TO LIBRARY.
27/sxx38	ADDITIONS TO LIBRARY.
27/sxx39	ADDITIONS TO LIBRARY.
27/sxx40	ADDITIONS TO LIBRARY.
27/sxx41	ADDITIONS TO LIBRARY.
27/sxx42	ADDITIONS TO LIBRARY.
27/sxx43	ADDITIONS TO LIBRARY.
27/sxx44	ADDITIONS TO LIBRARY.
27/sxx45	ADDITIONS TO LIBRARY.
27/sxx46	ADDITIONS TO LIBRARY.
27/sxx47	ADDITIONS TO LIBRARY.
27/sxx48	ADDITIONS TO LIBRARY.
27/sxx49	ADDITIONS TO LIBRARY.
27/sxx50	ADDITIONS TO LIBRARY.
27/sxx51	ADDITIONS TO LIBRARY.
27/sxx52	ADDITIONS TO LIBRARY.
27/sxx53	ADDITIONS TO LIBRARY.
27/sxx54	ADDITIONS TO LIBRARY.
27/sxx55	ADDITIONS TO LIBRARY.
53/sxx17	ADDITIONS TO THE JAPANESE LAND SNAIL FAUNA, IV.
51/sxx30	ADDITIONS TO THE JAPANESE LAND SNAIL FAUNA.
52/sxx13	ADDITIONS TO THE JAPANESE LAND SNAIL FAUNA.
52/sxx22	ADDITIONS TO THE JAPANESE LAND SNAIL FAUNA.
53/sxx36	ADDITIONS TO THE JAPANESE LAND SNAIL FAUNA.-V. BY HENRY A. PILSBRY.
72/sxx12	AMERICAN DERMAPTERA OF THE MUSEUM NATIONAL D'HISTOIRE NATURELLE, PARIS, FRANCE.
64/sxx05	AMERICAN ORTHOPTERA.
67/sxx22	AN ARRANGEMENT OF MINERALS ACCORDING TO THEIR OCCURRENCE.^ BY EDGAR T. WHERRY AND SAMUEL G. GORDON.
47/sxx06	AN ARRANGEMENT OF THE RETINAL CELLS IN THE EYES OF FISHES PARTIALLY SIMULATING COMPOUND EYES.
53/sxx27	AN ECOLOGICAL SKETCH OF THE FLOKA OF SANTO DOMINGO BY JOHN W. HARSHBERGER, PH.D.
52/sxx21	AN ECOLOGICAL STUDY OF THE NEW JERSEY STRAND FLORA.
34/sxx05	AN IDENTIFICATION OF THE SPECIES OF FISHES DESCEIBED IN SHAW'S GENERAL ZOOLOGY.
50/sxx04	ANATOMICAL NOTES ON CERTAIN WEST AMERICAN HELICES.
31/sxx17	AND FLORIDA, WITH A REVISION OF THE GENERA OF CRANGONIDJE AND PAL-EMONIDJE.
68/sxx03	AND PIEDMONT REGION OF THE SOUTHEASTERN UNITED STATES.
57/sxx06	ANEW SPECIES OF SEA-MOUSE (APHRODITA HASTATA) FROM EASTERN MASSACHUSETTS.
60/sxx03	ANIMAL NAMES AND ANATOMICAL TEEMS OF THE GOSHUTE INDIANS.
57/sxx01	ANNOTATED LIST OF THE TYPES OF INVERTEBRATE CRETACEOUS FOSSILS BY CHARLES W. JOHNSON.
37/sxx07	ATTACK AND DEFENSE AS AGENTS IN ANIMAL EVOLUTION.
42/sxx07	BAROMETRIC OBSERVATIONS AMONG THE HIGH VOLCANOES OF
55/sxx09	BEES OF THE GENUS NOMADA FROM CALIFORNIA.
59/sxx04	BERTRAMIA BUFONIS.
53/sxx01	BIOGRAPHICAL NOTICE OF CHARLES EASTWICK SMITH.
53/sxx18	BIOGRAPHICAL NOTICE OF ROBERT HENRY LAMBORN.
49/sxx29	BIOGRAPHICAL NOTICES OF HARRISON ALLEN AND GEORGE HENRY HORN.
50/sxx17	BIRDS OBSERVED IN CENTRAL CALIFORNIA IN THE SUMMER OF 1893.
70/sxx13	BIRDS OF THE PANAMA CANAL ZONE, WITH SPECIAL REFERENCE TO A COLLECTION MADE BY MR. LINDSEY L. JEWEL.
55/sxx01	BIRDS OF THE SISKIYOU MOUNTAINS, CALIFORNIA: A PROBLEM IN DISTRIBUTION.
50/sxx28	BOTANICAL OBSERVATIONS ON THE MEXICAN FLORA, ESPECIALLY ON THE FLORA OF THE VALLEY OF MEXICO.
50/sxx06	BRAZIL, NO.
50/sxx33	BRAZIL, NO.
32/sxx02	CARCINOLOGICAL NOTES No.
07/sxx30	CATALOGUE OF AMERICAN TESTUDINATA.
23/sxx04	CATALOGUE OF CRUSTACEA FROM THE ISTHMUS OF PANAMA.
41/sxx17	CATALOGUE OF THE ASTEROIDEA AND OPHIUROIDEA IN THE BY J. E. IVES.
45/sxx09	CATALOGUE OF THE CRUSTACEANS IN THE MUSEUM OF THE ACADBY DR. BEN J.
57/sxx36	CATALOGUE OF THE LAND AND FRESH-WATER MOLLTJSCA OF TAIWAN (FORMOSA), WITH DESCRIPTIONS OF NEW SPECIES.
42/sxx03	CATALOGUE OF THE OWLS IN THE COLLECTION OF THE BY WITHER STONE.
25/sxx02	CATALOGUE OF THE RECENT SPECIES OF THE CLASS BRACHIOPODA.
48/sxx11	CATALOGUE OF THE SPECIES OF CERION, WITH DESCRIPTIONS OF NEW FORMS.
66/sxx07	CERTAIN FEATURES OF SOLENOGASTRE DEVELOPMENT.
50/sxx19	CHITONS COLLECTED BY DR. HAROLD HEATH AT PACIFIC GROVE, NEAR MONTEREY, CALIFORNIA.
53/sxx31	COCKSCOMB FASCIATION OF PINEAPPLES.
67/sxx04	COLD-BLOODED VERTEBRATES FROM FLORIDA, THE WEST INDIES, COSTA RICA, AND EASTERN BRAZIL.
69/sxx09	COLPICHTHYS, THYRINOPS.
36/sxx00	committee of publication: Joseph Leidy, M. D., Geo.
39/sxx00	committee of publication: Joseph Leidy, M. D., Geo.
40/sxx00	committee of publication: Joseph Leidy, M. D., Geo.
42/sxx00	committee of publication: Joseph Leidy, M. D., Geo.
35/sxx00	committeie of publication: Joseph Leidt, M. D., Geo.
60/sxx01	CONTENTS, For Announcements, Reports, etc., see General Index.
12/sxx01	CONTENTS.
19/sxx01	CONTENTS.
50/sxx05	CONTRIBUTIONS TO A KNOWLEDGE OF THE HYMENOPTERA OF
50/sxx32	CONTRIBUTIONS TO A KNOWLEDGE OF THE HYMENOPTERA OF
49/sxx15	CONTRIBUTIONS TO A KNOWLEDGE OF THE HYMENOPTERA OF BRAZIL, NO.
49/sxx23	CONTRIBUTIONS TO A KNOWLEDGE OF THE HYMENOPTERA OF BRAZIL, NO.
51/sxx12	CONTRIBUTIONS TO A KNOWLEDGE OF THE HYMENOPTERA OF BRAZIL, NO.
51/sxx24	CONTRIBUTIONS TO A KNOWLEDGE OF THE HYMENOPTERA OF BRAZIL, No.
48/sxx10	CONTRIBUTIONS TO A KNOWLEDGE OF THE HYMENOPTERA OF BRAZIL.
47/sxx28	CONTRIBUTIONS TO THE FLORA OF GREENLAND.
50/sxx09	CONTRIBUTIONS TO THE HERPETOLOGY OF SAO PAULO, BRAZIL.— I.
52/sxx15	CONTRIBUTIONS TO THE ICHTHYOLOGY OF THE TROPICAL PACIFIC.
40/sxx13	CONTRIBUTIONS TO THE LIFE HISTORIES OF PLANTS, NO.
45/sxx19	CONTRIBUTIONS TO THE LIFE HISTORIES OF PLANTS, NO.
49/sxx07	CONTRIBUTIONS TO THE LIFE HISTORIES OF PLANTS, NO.
41/sxx06	CONTRIBUTIONS TO THE LIFE HISTORIES OF PLANTS.
42/sxx09	CONTRIBUTIONS TO THE LIFE-HISTORIES OF PLANTS.
43/sxx11	CONTRIBUTIONS TO THE LIFE-HISTORIES OF PLANTS.
51/sxx05	CONTRIBUTIONS TO THE LIFE-HISTORY OF PLANTS.
52/sxx06	CONTRIBUTIONS TO THE LIFE-HISTORY OF PLANTS.
53/sxx13	CONTRIBUTIONS TO THE LIFE-HISTORY OF PLANTS.
47/sxx24	CONTRIBUTIONS TO THE ZOOLOGY OF TENNESSEE, No.
47/sxx20	CONTRIBUTIONS TO THE ZOOLOGY OF TENNESSEE.
48/sxx04	CONTRIBUTIONS TO THE ZOOLOGY OF TENNESSEE.
48/sxx18	CONTRIBUTIONS TO THE ZOOLOGY OF TENNESSEE.
39/sxx05	CONTRIBUTIONS TOWARDS A SYNOPSIS OF THE AMERICAN FORMS OF FRESH WATER SPONGES WITH DESCRIPTIONS OF THOSE NAMED BY OTHER AUTHORS AND FROM ALL PARTS OF THE WORLD.
62/sxx09	COOK: SPERMATOGENESIS IN LEPIDOPTERA PLATE XXIV.
62/sxx08	COOK: SPERMATOGENESIS IN LEPIDOPTERA.
62/sxx10	COOK: SPERMATOGENESIS IN LEPIDOPTERA.
62/sxx11	COOK: SPERMATOGENESIS IN LEPIDOPTERA.
62/sxx12	COOK: SPERMATOGENESIS IN LEPIDOPTERA.
62/sxx13	COOK: SPERMATOGENESIS IN LEPIDOPTERA.
57/sxx41	COON BUTTE, ARIZONA.
72/sxx04	CORRELATION BETWEEN VEGETATION AND SOIL ACIDITY IN SOUTHERN NEW JERSEY.
13/sxx05	CORRESPONDENCE OF THE ACADEMY FOR 1861. Letters were received and read as follows, viz, : Jan. 8th.
11/sxx05	CORRESPONDENCE OF THE ACADEMY, 1859.
17/sxx09	CORRESPONDENCE OF THE ACADEMY, For 1865. Letters were received and read as follows : January 3d Natural History Society in Emden, Oct. 25th, 1864, advising of their proposed celebration of their 50th anniversary on the 29th of December, 1864, and inviting the members of the Academy thereto.
20/sxx07	CORRESPONDENCE OF THE ACADEMY, For 1868.
21/sxx08	CORRESPONDENCE OF THE ACADEMY, For 1869.
16/sxx09	CORRESPONDENCE OF THE ACADEMY, For 1964, Letters were received and read as follows: January 5th.
14/sxx08	CORRESPONDENCE OF THE ACADEMY.
15/sxx04	CORRESPONDENCE OF THE ACADEMY.
26/sxx18	CORRESPONDENCE OF THE ACADEMY.
27/sxx31	CORRESPONDENCE OF THE ACADEMY.
09/sxx03	CORRESPONDENCE.
09/sxx04	CORRESPONDENCE.
09/sxx05	CORRESPONDENCE.
09/sxx06	CORRESPONDENCE.
10/sxx03	CORRESPONDENCE.
10/sxx04	CORRESPONDENCE.
10/sxx05	CORRESPONDENCE.
10/sxx06	CORRESPONDENCE.
10/sxx07	CORRESPONDENCE.
11/sxx04	CORRESPONDENCE.
11/sxx06	CORRESPONDENCE.
11/sxx07	CORRESPONDENCE.
11/sxx08	CORRESPONDENCE.
13/sxx04	CORRESPONDENCE.
13/sxx06	CORRESPONDENCE.
13/sxx07	CORRESPONDENCE.
14/sxx07	CORRESPONDENCE.
14/sxx09	CORRESPONDENCE.
15/sxx05	CORRESPONDENCE.
16/sxx08	CORRESPONDENCE.
16/sxx10	CORRESPONDENCE.
16/sxx11	CORRESPONDENCE.
17/sxx08	CORRESPONDENCE.
17/sxx10	CORRESPONDENCE.
17/sxx11	CORRESPONDENCE.
20/sxx06	CORRESPONDENCE.
21/sxx07	CORRESPONDENCE.
21/sxx09	CORRESPONDENCE.
21/sxx10	CORRESPONDENCE.
21/sxx11	CORRESPONDENCE.
26/sxx17	CORRESPONDENCE.
26/sxx19	CORRESPONDENCE.
26/sxx20	CORRESPONDENCE.
27/sxx30	CORRESPONDENCE.
27/sxx32	CORRESPONDENCE.
27/sxx33	CORRESPONDENCE.
26/sxx21	CORRESPONDENCE. '
08/sxx26	CORRESPONDENTS OF THE OF FROM THE OKIGIN OF THE SOCIETY IN 1812 TO MAECH 1, 1867, MEMBERS OP THE OF Names of members known to be deceased are in italics.
01/sxx102	CORRESPONDENTS.
01/sxx113	CORRESPONDENTS.
01/sxx152	CORRESPONDENTS.
08/sxx27	CORRESPONDENTS.
21/sxx06	CORRESPONDENTS.
22/sxx04	CORRESPONDENTS.
23/sxx09	CORRESPONDENTS.
24/sxx10	CORRESPONDENTS.
25/sxx23	CORRESPONDENTS.
27/sxx29	CORRESPONDENTS.
28/sxx02	CORRESPONDENTS.
29/sxx09	CORRESPONDENTS.
30/sxx14	CORRESPONDENTS.
31/sxx20	CORRESPONDENTS.
33/sxx10	CORRESPONDENTS.
34/sxx08	CORRESPONDENTS.
35/sxx02	CORRESPONDENTS.
36/sxx09	CORRESPONDENTS.
39/sxx12	CORRESPONDENTS.
40/sxx19	CORRESPONDENTS.
41/sxx34	CORRESPONDENTS.
43/sxx18	CORRESPONDENTS.
44/sxx04	CORRESPONDENTS.
45/sxx29	CORRESPONDENTS.
48/sxx22	CORRESPONDENTS.
49/sxx32	CORRESPONDENTS.
51/sxx32	CORRESPONDENTS.
52/sxx26	CORRESPONDENTS.
53/sxx38	CORRESPONDENTS.
55/sxx13	CORRESPONDENTS.
56/sxx11	CORRESPONDENTS.
57/sxx43	CORRESPONDENTS.
59/sxx11	CORRESPONDENTS.
72/sxx01	COSTA RICAN LAND AND FRESHWATER MOLLUSKS.
62/sxx00	Cr*^ OF THE Academy of Natural Sciences OF Volume LXI1 1910 philadelphia : The Academy of Natural Sciences LOGAN SQUARE 1910-19H The Academy of Natural Sciences of Philadelphia, February 2, 1911.
46/sxx02	CRITICAL LIST OF MOLLUSKS COLLECTED IN THE POTOMAC VALLEY.
40/sxx16	CROTALOCRINUS : ITS STRUCTURE AND ZOOLOGICAL POSITION.
53/sxx05	CRUSTACEA AND PYCNOGONIDA COLLECTED DUKING THE PKINCETON EXPEDITION TO NORTH GREENLAND.
43/sxx08	CRUSTACEA FROM THE NORTHERN COAST OF YUCATAN, THE HARBOR OF VERA CRUZ, THE WEST COAST OF FLORIDA AND THE BERMUDA ISLANDS.
53/sxx03	CRUSTACEA OF THE CRETACEOUS FORMATION OF NEW JERSEY.
74/sxx03	CRYSTALLOGRAPHIC NOTES ON GLAUCOCHROITE, WILLEMITE, CELESTITE, AND CALCITE FROM FRANKLIN, NEW JERSEY By Samuel G. Gordon.
74/sxx04	CRYSTALLOGRAPHIC NOTES ON WAVELLITE FROM BOLIVIA, PENNSYLVANIA, ARKANSAS, AND BOHEMIA.
27/sxx02	CURIOUS ANOMALY IN HISTORY OF CERTAIN LARViE OF ACRONYCTA
07/sxx24	D IX.
07/sxx25	D IX.
07/sxx26	D IX.
07/sxx04	D X.
07/sxx05	D X.
07/sxx06	D X.
07/sxx08	D X.
07/sxx09	D X.
07/sxx17	D X.
07/sxx18	D X.
07/sxx19	D X.
07/sxx27	D X.
07/sxx16	D X. I.
07/sxx07	D XI.
07/sxx21	D XII.
07/sxx22	D XIII.
07/sxx23	D XIII.
07/sxx20	D XXXVII.
48/sxx16	DATA OBTAINED BY DR. G. BAUR IN THE GALAPAGOS ISLANDS.
66/sxx06	DATA ON THE ORTHOPTERAN FAUNISTICS OF EASTERN PENNSYLVANIA AND SOUTHERN NEW JERSEY.
57/sxx31	DELAWARE VALLEY FORMS OF TRACHELOMONAS.
12/sxx02	DELEGATES TO THE CENTENARY CELEBRATION.
19/sxx02	DELEGATES TO THE CENTENARY CELEBRATION.
26/sxx08	DESCKIPTION OF A NEW SPECIES OF HELIX.
45/sxx15	DESCRIPTION OF A LOWER JAW OF TETRABELODON SHEPARDII Leidy.
46/sxx08	DESCRIPTION OF A NEW ARMADILLO, WITH REMARKS ON THE GENUS MULETIA GRAY.
66/sxx02	DESCRIPTION OF A NEW BLENNY FROM NEW JERSEY, WITH NOTES ON OTHER FISHES FROM THE MIDDLE ATLANTIC STATES.
31/sxx12	DESCRIPTION OF A NEW BRANCHIPOD.
72/sxx15	DESCRIPTION OF A NEW CYPRINOID FISH (NOTROPIS STONEI) WITH NOTES ON OTHER FISHES OBTAINED IN THE UNITED STATES.
47/sxx21	DESCRIPTION OF A NEW GENUS AND SPECIES OF COTTOID FISHES FROM PUGET SOUND.
50/sxx27	DESCRIPTION OF A NEW GENUS AND SPECIES OF MICROTINE RODENT FROM SIBERIA.
55/sxx04	DESCRIPTION OF A NEW GURNARD FROM FLORIDA, WITH NOTES ON TH£ COLORS OF SOME OTHER FLORIDA FISHES.
53/sxx09	DESCRIPTION OF A NEW HEMIRAMPHID.
42/sxx14	DESCRIPTION OF A NEW JAPANESE SCALPELLUM.
56/sxx03	DESCRIPTION OF A NEW RACE OF NOTROPIS CHALYB^US FROM NEW JERSEY.
59/sxx08	DESCRIPTION OF A NEW SPECIES OF ANNELID FEOM WOODS HOLE.
27/sxx20	DESCRIPTION OF A NEW SPECIES OF BIRD OF PARADISE OF THE GENUS PTILORIS, IN THE COLLECTION OF THE ACADEMY.
32/sxx06	DESCRIPTION OF A NEW SPECIES OF CATOSTOMUS (CATOSTOMUS CYPHO) FROM THE COLORADO RIVER.
31/sxx11	DESCRIPTION OF A NEW SPECIES OF CHIROCEPHALUS.
57/sxx25	DESCRIPTION OF A NEW SPECIES OF COMMENSAL CRAB.
30/sxx11	DESCRIPTION OF A NEW SPECIES OF DOLABELLA, FROM THE GULF OF CALIFORNIA, WITH REMARKS ON OTHER RARE OR LITTLEKNOWN SPECIES FROM THE SAME REGION.
41/sxx32	DESCRIPTION OF A NEW SPECIES OF EUTAENIA.
31/sxx05	DESCRIPTION OF A NEW SPECIES OF GONIOBRANCHUS.
25/sxx04	DESCRIPTION OF A NEW SPECIES OF GONIODORIS.
42/sxx04	DESCRIPTION OF A NEW SPECIES OF HELIX.
26/sxx13	DESCRIPTION OF A NEW SPECIES OF HELMINTHOPHAGA.
32/sxx05	DESCRIPTION OF A NEW SPECIES OF HEMITSIPTERUS FROM ALASKA.
45/sxx02	DESCRIPTION OF A NEW SPECIES OF NEOTOMA FROM PENNSYLVANIA.
41/sxx04	DESCRIPTION OF A NEW SPECIES OF ORTHOPRISTIS FROM THE GALAPAGOS ISLANDS.
30/sxx09	DESCRIPTION OF A NEW SPECIES OF SMYNTHURUS.
60/sxx02	DESCRIPTION OF A NEW SPECIES OF SQUALOID SHARK FROM JAPAN.
46/sxx04	DESCRIPTION OF A NEW SUBSPECIES OF TROUT FROM McCLOUD RIVER, CALIFORNIA.
50/sxx14	DESCRIPTION OF A NEW TETHYS (APLYSIA).
25/sxx06	DESCRIPTION OF A NEW VARIETY OF.
32/sxx04	DESCRIPTION OF A PARTULA SUPPOSED TO BE NEW, FROM THE ISLAND OF MOOREA.
43/sxx04	DESCRIPTION OF A SPECIMEN OF CHIROLOPHIS POLYACTOCEPHALUS FROM VANCOUVER ISLAND.
62/sxx06	DESCRIPTION OF FOUR NEW CYPRINOIDS (RHODEIN.E).
62/sxx07	DESCRIPTION OF NEW SERPULIDS FROM BERMUDA WITH NOTES ON KNOWN FORMS FROM ADJACENT REGIONS.
41/sxx16	DESCRIPTION OF NEW SPECIES OF FOSSIL CRUSTACEA FROM THE LOWER SILURIAN OF TENNESSEE, WITH REMARKS ON OTHERS NOT WELL KNOWN.
